code_insee,annee,prix_m2_appart,prix_m2_maison,nb_ventes_appart,nb_ventes_maison,nb_ventes_total
21465,2024,509,509,0.0,1.0,1
21466,2024,633,633,0.0,1.0,1
21468,2024,702,702,0.0,2.0,2
21469,2024,1983,1983,0.0,3.0,3
21473,2024,3238,3238,1.0,4.0,5
21474,2024,1065,1065,0.0,3.0,3
21475,2024,1691,1691,0.0,7.0,7
21476,2024,1424,1424,0.0,2.0,2
21477,2024,3071,3071,0.0,1.0,1
21478,2024,1743,1743,0.0,4.0,4
21479,2024,722,722,0.0,1.0,1
21480,2024,2668,2668,0.0,2.0,2
21481,2024,2498,2498,4.0,13.0,17
21482,2024,1640,1640,0.0,11.0,11
21483,2024,3349,3349,0.0,2.0,2
21485,2024,2576,2576,12.0,18.0,30
21487,2024,2504,2504,0.0,4.0,4
21488,2024,907,907,0.0,1.0,1
21490,2024,1122,1122,0.0,2.0,2
21491,2024,1066,1066,0.0,1.0,1
21492,2024,3479,3479,1.0,5.0,6
21493,2024,1981,1981,0.0,7.0,7
21494,2024,1021,1021,0.0,1.0,1
21496,2024,1778,1778,2.0,20.0,22
21497,2024,1566,1566,0.0,3.0,3
21499,2024,1036,1036,0.0,2.0,2
21500,2024,1477,1477,0.0,5.0,5
21501,2024,1981,1981,3.0,17.0,20
21502,2024,1534,1534,0.0,10.0,10
21504,2024,1964,1964,0.0,2.0,2
21505,2024,1154,1154,0.0,9.0,9
21506,2024,2393,2393,0.0,7.0,7
21508,2024,2593,2593,0.0,6.0,6
21511,2024,1222,1222,0.0,2.0,2
21512,2024,2106,2106,0.0,8.0,8
21514,2024,880,880,0.0,2.0,2
21515,2024,2491,2491,46.0,35.0,81
21517,2024,2486,2486,1.0,4.0,5
21518,2024,1158,1158,0.0,4.0,4
21519,2024,1016,1016,0.0,3.0,3
21520,2024,1457,1457,0.0,1.0,1
21521,2024,2696,2696,0.0,11.0,11
21522,2024,1227,1227,0.0,1.0,1
21523,2024,889,889,0.0,1.0,1
21524,2024,762,762,0.0,1.0,1
21525,2024,1719,1719,0.0,6.0,6
21527,2024,2505,2505,0.0,3.0,3
21528,2024,760,760,0.0,2.0,2
21529,2024,989,989,0.0,1.0,1
21530,2024,1292,1292,0.0,3.0,3
21531,2024,1035,1035,0.0,4.0,4
21532,2024,2444,2444,0.0,3.0,3
21534,2024,2659,2659,0.0,8.0,8
21535,2024,2845,2845,2.0,8.0,10
21536,2024,1080,1080,0.0,8.0,8
21537,2024,972,972,0.0,2.0,2
21538,2024,511,511,0.0,2.0,2
21540,2024,2837,2837,57.0,64.0,121
21541,2024,2689,2689,0.0,3.0,3
21542,2024,2508,2508,0.0,4.0,4
21544,2024,975,975,0.0,2.0,2
21545,2024,1179,1179,1.0,7.0,8
21546,2024,1830,1830,0.0,3.0,3
21547,2024,620,620,0.0,1.0,1
21548,2024,1279,1279,0.0,7.0,7
21550,2024,1407,1407,0.0,3.0,3
21554,2024,1384,1384,17.0,6.0,23
21555,2024,2408,2408,1.0,8.0,9
21556,2024,2884,2884,0.0,2.0,2
21557,2024,614,614,0.0,1.0,1
21558,2024,2603,2603,1.0,9.0,10
21559,2024,1944,1944,0.0,4.0,4
21560,2024,1450,1450,0.0,1.0,1
21561,2024,1520,1520,0.0,4.0,4
21562,2024,3529,3529,0.0,1.0,1
21564,2024,2242,2242,0.0,1.0,1
21565,2024,2390,2390,0.0,5.0,5
21568,2024,1540,1540,0.0,8.0,8
21569,2024,1548,1548,0.0,5.0,5
21571,2024,1120,1120,0.0,1.0,1
21572,2024,1811,1811,0.0,1.0,1
21573,2024,2119,2119,0.0,4.0,4
21574,2024,1163,1163,0.0,2.0,2
21575,2024,1043,1043,0.0,1.0,1
21576,2024,1566,1566,0.0,2.0,2
21577,2024,1747,1747,0.0,10.0,10
21578,2024,1827,1827,0.0,3.0,3
21579,2024,765,765,0.0,1.0,1
21581,2024,1306,1306,0.0,1.0,1
21582,2024,1631,1631,0.0,7.0,7
21583,2024,1515,1515,0.0,1.0,1
21584,2024,1944,1944,0.0,24.0,24
21585,2024,2668,2668,0.0,9.0,9
21586,2024,2498,2498,0.0,2.0,2
21587,2024,1737,1737,0.0,3.0,3
21589,2024,1962,1962,0.0,3.0,3
21590,2024,2862,2862,1.0,13.0,14
21591,2024,2615,2615,1.0,10.0,11
21593,2024,571,571,0.0,1.0,1
21595,2024,3262,3262,0.0,1.0,1
21596,2024,2322,2322,0.0,4.0,4
21597,2024,1772,1772,0.0,1.0,1
21598,2024,1523,1523,0.0,3.0,3
21599,2024,1754,1754,2.0,26.0,28
21601,2024,1577,1577,0.0,2.0,2
21603,2024,1612,1612,8.0,18.0,26
21604,2024,1147,1147,0.0,3.0,3
21605,2024,2579,2579,1.0,16.0,17
21606,2024,2256,2256,1.0,17.0,18
21607,2024,1657,1657,5.0,21.0,26
21608,2024,1136,1136,0.0,2.0,2
21609,2024,1953,1953,0.0,3.0,3
21610,2024,1461,1461,0.0,5.0,5
21611,2024,1751,1751,0.0,11.0,11
21613,2024,1929,1929,0.0,3.0,3
21614,2024,1328,1328,0.0,2.0,2
21615,2024,460,460,0.0,1.0,1
21617,2024,2509,2509,78.0,37.0,115
21618,2024,1359,1359,0.0,9.0,9
21619,2024,1056,1056,0.0,1.0,1
21620,2024,1608,1608,0.0,5.0,5
21622,2024,1383,1383,0.0,3.0,3
21623,2024,2410,2410,0.0,11.0,11
21625,2024,1367,1367,0.0,1.0,1
21628,2024,1214,1214,0.0,4.0,4
21629,2024,1244,1244,0.0,2.0,2
21630,2024,1036,1036,0.0,1.0,1
21632,2024,2488,2488,0.0,8.0,8
21633,2024,1197,1197,0.0,2.0,2
21634,2024,1331,1331,0.0,2.0,2
21635,2024,667,667,0.0,1.0,1
21636,2024,1432,1432,0.0,6.0,6
21637,2024,810,810,0.0,3.0,3
21638,2024,1914,1914,0.0,11.0,11
21639,2024,1865,1865,0.0,3.0,3
21641,2024,1088,1088,0.0,6.0,6
21642,2024,1499,1499,0.0,7.0,7
21643,2024,2274,2274,0.0,2.0,2
21644,2024,1897,1897,0.0,3.0,3
21645,2024,1419,1419,0.0,12.0,12
21648,2024,2535,2535,0.0,2.0,2
21650,2024,2610,2610,0.0,2.0,2
21651,2024,2590,2590,0.0,1.0,1
21652,2024,2330,2330,0.0,3.0,3
21653,2024,1087,1087,0.0,1.0,1
21656,2024,2135,2135,0.0,5.0,5
21657,2024,3016,3016,1.0,15.0,16
21659,2024,2742,2742,0.0,1.0,1
21661,2024,2363,2363,4.0,16.0,20
21663,2024,1446,1446,3.0,14.0,17
21664,2024,745,745,0.0,2.0,2
21665,2024,1146,1146,0.0,2.0,2
21666,2024,1236,1236,0.0,3.0,3
21667,2024,2223,2223,0.0,5.0,5
21669,2024,1390,1390,0.0,2.0,2
21670,2024,1295,1295,0.0,7.0,7
21671,2024,841,841,1.0,2.0,3
21673,2024,1114,1114,0.0,5.0,5
21674,2024,764,764,0.0,5.0,5
21676,2024,1516,1516,0.0,2.0,2
21677,2024,1714,1714,0.0,2.0,2
21678,2024,1307,1307,0.0,3.0,3
21679,2024,1994,1994,0.0,3.0,3
21680,2024,1349,1349,0.0,6.0,6
21682,2024,2371,2371,0.0,3.0,3
21683,2024,1059,1059,0.0,7.0,7
21684,2024,2611,2611,0.0,1.0,1
21685,2024,1124,1124,0.0,2.0,2
21686,2024,782,782,0.0,2.0,2
21687,2024,1812,1812,0.0,1.0,1
21688,2024,1200,1200,0.0,1.0,1
21689,2024,1681,1681,0.0,1.0,1
21690,2024,1157,1157,0.0,4.0,4
21691,2024,2486,2486,0.0,2.0,2
