code_insee,nb_auberges,nb_campings,nb_hãtel_de_tourisme,nb_parc_rãsidentiel_de_lois,nb_rãsidence_de_tourisme,nb_villages_vac,total_hebergements,capacite_totale,nb_chambres_total
92025,0,0,3,0,2,0,5,1447,461.0
92026,0,0,12,0,7,0,19,8216,2450.0
92035,0,0,2,0,0,0,2,54,26.0
92036,0,0,11,0,0,0,11,2422,1135.0
92040,0,0,15,0,3,0,18,5166,1895.0
92044,0,0,13,0,1,0,14,1710,839.0
92046,0,0,7,0,2,0,9,1174,423.0
92048,0,0,4,0,0,0,4,1137,521.0
92049,0,0,7,0,1,0,8,2303,966.0
92050,0,0,11,0,1,0,12,3206,1401.0
92051,0,0,7,0,0,0,7,642,336.0
92060,0,0,2,0,1,0,3,375,133.0
92062,0,0,10,0,3,0,13,3342,1123.0
92063,0,0,10,0,0,0,10,1933,874.0
92064,0,0,4,0,0,0,4,388,175.0
92071,0,0,1,0,0,0,1,111,49.0
92073,0,0,6,0,1,0,7,1450,556.0
92075,0,0,3,0,2,0,5,1600,561.0
92078,0,0,1,0,0,0,1,121,59.0
93001,0,0,2,0,1,0,3,1286,437.0
93005,0,0,5,0,0,0,5,766,381.0
93006,0,0,5,0,0,0,5,3112,1464.0
93007,0,0,4,0,1,0,5,1334,397.0
93008,0,0,3,0,0,0,3,650,313.0
93014,0,0,1,0,0,0,1,205,90.0
93027,0,0,2,0,0,0,2,338,168.0
93029,0,0,1,0,0,0,1,279,93.0
93048,0,0,9,0,0,0,9,1546,623.0
93049,0,0,0,0,1,0,1,123,0.0
93050,0,1,0,0,0,0,1,333,0.0
93051,0,0,4,0,1,0,5,1298,437.0
93053,0,0,1,0,1,0,2,421,107.0
93055,0,0,6,0,0,0,6,1639,697.0
93063,0,0,1,0,0,0,1,240,120.0
93064,0,0,4,0,0,0,4,770,358.0
93066,0,0,1,0,0,0,1,199,93.0
93070,0,0,8,0,1,0,9,1366,548.0
93073,0,0,6,0,0,0,6,2644,1306.0
93077,0,0,2,0,0,0,2,441,173.0
93078,0,0,8,0,0,0,8,1520,695.0
94002,0,0,1,0,0,0,1,387,187.0
94003,0,0,2,0,1,0,3,664,255.0
94016,0,0,1,0,0,0,1,94,47.0
94017,0,1,1,0,0,0,2,1661,84.0
94018,0,0,3,0,1,0,4,1451,445.0
94021,0,0,5,0,1,0,6,1240,467.0
94022,0,0,2,0,1,0,3,582,62.0
94033,0,0,4,0,0,0,4,733,343.0
94034,0,0,2,0,0,0,2,415,178.0
94041,1,0,7,0,5,0,13,3292,769.0
94042,0,0,3,0,0,0,3,517,252.0
94046,0,0,3,0,1,0,4,338,80.0
94052,0,0,3,0,1,0,4,576,227.0
94054,0,0,2,0,0,0,2,425,190.0
94071,0,0,1,0,0,0,1,228,80.0
94073,0,0,1,0,0,0,1,118,58.0
94076,0,0,3,0,4,0,7,1761,293.0
94078,0,0,1,0,0,0,1,98,49.0
94080,0,0,4,0,2,0,6,613,103.0
94081,0,0,2,0,1,0,3,438,128.0
95018,0,0,4,0,0,0,4,586,293.0
95063,0,0,2,0,0,0,2,391,194.0
95127,0,0,9,0,0,0,9,1789,827.0
95203,0,0,1,0,0,0,1,102,48.0
95277,0,0,4,0,0,0,4,700,325.0
95280,0,0,5,0,1,0,6,844,311.0
95306,0,0,1,0,0,0,1,156,82.0
95500,0,0,1,0,0,0,1,182,91.0
95555,0,0,2,0,0,0,2,394,148.0
95582,0,0,1,0,0,0,1,90,45.0
95607,0,0,2,0,0,0,2,528,169.0
97113,0,0,8,0,0,0,8,3288,1217.0
97118,0,0,1,0,0,0,1,46,17.0
97128,0,0,5,0,1,2,8,3465,611.0
97209,0,0,7,0,1,0,8,1160,421.0
97213,0,0,1,0,0,0,1,48,24.0
97302,0,0,7,0,0,0,7,927,433.0
97304,0,0,3,0,0,0,3,630,282.0
97307,0,0,2,0,0,0,2,142,64.0
97311,0,0,2,0,0,0,2,232,101.0
97408,0,0,1,0,0,0,1,46,23.0
97411,0,0,21,0,1,0,22,5535,2433.0
97413,0,0,2,0,1,0,3,503,96.0
97415,0,0,8,0,2,1,11,1112,285.0
97416,0,1,8,0,0,0,9,728,282.0
97418,0,0,1,0,0,0,1,217,98.0
97420,0,1,0,0,0,0,1,114,0.0
97422,0,0,3,0,0,0,3,116,47.0
97611,0,0,1,0,0,0,1,140,70.0
